C:\Users\bellisd\Documents\gitrepos\cuda-nersc-training-series\hw01\x64\Release>hw01.exe
A[0] = 0.066406, B[0] = 0.520508, C[0] = 0.586914
A[1] = 0.590820, B[1] = 0.803711, C[1] = 1.394531
A[2] = 0.951172, B[2] = 0.572266, C[2] = 1.523438
A[3] = 0.835449, B[3] = 0.659180, C[3] = 1.494629
A[4] = 0.469727, B[4] = 0.705566, C[4] = 1.175293
A[5] = 0.146484, B[5] = 0.443848, C[5] = 0.590332
A[6] = 0.776367, B[6] = 0.762695, C[6] = 1.539062
A[7] = 0.585449, B[7] = 0.319824, C[7] = 0.905273
A[8] = 0.694336, B[8] = 0.491211, C[8] = 1.185547
A[9] = 0.918945, B[9] = 0.660156, C[9] = 1.579102
A[10] = 0.809082, B[10] = 0.137207, C[10] = 0.946289
A[11] = 0.308594, B[11] = 0.920410, C[11] = 1.229004
A[12] = 0.312988, B[12] = 0.332520, C[12] = 0.645508
A[13] = 0.376953, B[13] = 0.614746, C[13] = 0.991699
A[14] = 0.469238, B[14] = 0.737793, C[14] = 1.207031
A[15] = 0.289551, B[15] = 0.420410, C[15] = 0.709961
A[16] = 0.018555, B[16] = 0.800781, C[16] = 0.819336
A[17] = 0.644043, B[17] = 0.748535, C[17] = 1.392578
A[18] = 0.042969, B[18] = 0.673828, C[18] = 0.716797
A[19] = 0.871582, B[19] = 0.222656, C[19] = 1.094238
A[20] = 0.425781, B[20] = 0.293457, C[20] = 0.719238
A[21] = 0.527344, B[21] = 0.936523, C[21] = 1.463867
A[22] = 0.825684, B[22] = 0.092285, C[22] = 0.917969
A[23] = 0.646973, B[23] = 0.556152, C[23] = 1.203125
A[24] = 0.769531, B[24] = 0.558105, C[24] = 1.327637
A[25] = 0.909180, B[25] = 0.334961, C[25] = 1.244141
A[26] = 0.365234, B[26] = 0.731934, C[26] = 1.097168
A[27] = 0.138672, B[27] = 0.179688, C[27] = 0.318359
A[28] = 0.497559, B[28] = 0.497070, C[28] = 0.994629
A[29] = 0.379883, B[29] = 0.563477, C[29] = 0.943359
A[30] = 0.523926, B[30] = 0.408691, C[30] = 0.932617
A[31] = 0.426758, B[31] = 0.556641, C[31] = 0.983398
A[32] = 0.685547, B[32] = 0.355957, C[32] = 1.041504
A[33] = 0.771973, B[33] = 0.662109, C[33] = 1.434082
A[34] = 0.594238, B[34] = 0.746582, C[34] = 1.340820
A[35] = 0.715820, B[35] = 0.241699, C[35] = 0.957520
A[36] = 0.132812, B[36] = 0.291992, C[36] = 0.424805
A[37] = 0.282227, B[37] = 0.791504, C[37] = 1.073730
A[38] = 0.943359, B[38] = 0.682617, C[38] = 1.625977
A[39] = 0.458496, B[39] = 0.006348, C[39] = 0.464844
A[40] = 0.912109, B[40] = 0.789551, C[40] = 1.701660
A[41] = 0.162109, B[41] = 0.943848, C[41] = 1.105957
A[42] = 0.906738, B[42] = 0.872070, C[42] = 1.778809
A[43] = 0.345215, B[43] = 0.412598, C[43] = 0.757812
A[44] = 0.387695, B[44] = 0.964844, C[44] = 1.352539
A[45] = 0.655273, B[45] = 0.818359, C[45] = 1.473633
A[46] = 0.468750, B[46] = 0.487793, C[46] = 0.956543
A[47] = 0.302246, B[47] = 0.297852, C[47] = 0.600098
A[48] = 0.462891, B[48] = 0.289551, C[48] = 0.752441
A[49] = 0.354492, B[49] = 0.348145, C[49] = 0.702637
A[50] = 0.770996, B[50] = 0.895020, C[50] = 1.666016
A[51] = 0.167480, B[51] = 0.042480, C[51] = 0.209961
A[52] = 0.138672, B[52] = 0.076660, C[52] = 0.215332
A[53] = 0.116699, B[53] = 0.545898, C[53] = 0.662598
A[54] = 0.817383, B[54] = 0.265137, C[54] = 1.082520
A[55] = 0.541016, B[55] = 0.136719, C[55] = 0.677734
A[56] = 0.595215, B[56] = 0.992676, C[56] = 1.587891
A[57] = 0.791992, B[57] = 0.789062, C[57] = 1.581055
A[58] = 0.667480, B[58] = 0.640625, C[58] = 1.308105
A[59] = 0.876953, B[59] = 0.801270, C[59] = 1.678223
A[60] = 0.387695, B[60] = 0.449707, C[60] = 0.837402
A[61] = 0.570312, B[61] = 0.183594, C[61] = 0.753906
A[62] = 0.322266, B[62] = 0.372070, C[62] = 0.694336
A[63] = 0.436523, B[63] = 0.937012, C[63] = 1.373535
A[64] = 0.454102, B[64] = 0.255859, C[64] = 0.709961
A[65] = 0.233398, B[65] = 0.787109, C[65] = 1.020508
A[66] = 0.994629, B[66] = 0.912598, C[66] = 1.907227
A[67] = 0.421875, B[67] = 0.515137, C[67] = 0.937012
A[68] = 0.572266, B[68] = 0.030762, C[68] = 0.603027
